# @author MoShangHuaKai
# KX楼宇名称,KX房间号,ZT楼宇名称,ZT房间号
中天光纤1号楼,1西03,光纤宿舍1号楼,西103
中天光纤2号楼,2505,光纤宿舍2号楼,2505
中天光纤2号楼,2506,光纤宿舍2号楼,2506
中天光纤2号楼,2507,光纤宿舍2号楼,2507
中天光纤2号楼,2508,光纤宿舍2号楼,2508
中天光纤2号楼,2509,光纤宿舍2号楼,2509
中天光纤2号楼,2510,光纤宿舍2号楼,2510
中天光纤2号楼,2511,光纤宿舍2号楼,2511
中天光纤2号楼,2512,光纤宿舍2号楼,2512
中天光纤2号楼,2601,光纤宿舍2号楼,2601
中天光纤2号楼,2602,光纤宿舍2号楼,2602
中天光纤2号楼,2603,光纤宿舍2号楼,2603
中天光纤2号楼,2604,光纤宿舍2号楼,2604
中天光纤2号楼,2605,光纤宿舍2号楼,2605
中天光纤2号楼,2606,光纤宿舍2号楼,2606
中天光纤2号楼,2607,光纤宿舍2号楼,2607
中天光纤2号楼,2608,光纤宿舍2号楼,2608
中天光纤2号楼,2609,光纤宿舍2号楼,2609
中天光纤2号楼,2610,光纤宿舍2号楼,2610
中天光纤2号楼,2611,光纤宿舍2号楼,2611
中天光纤2号楼,2612,光纤宿舍2号楼,2612
